Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-AO-A03U-01B,0.00498893969845623,0,0.0148135140011016,0.0789999403092064,0,0.368962908103447,0,0.00600713313347806,0.01223584798125,0,0.17337513273577,0.112350355017799,0.174226692918908,0.0671496488406691,0.0958450656129272,0.382142105156225,0.137162110908637,0,0.164979089153481,0,0,0,0,0.46894726760485,0.883020214892852,1.79323848357136
TCGA-AO-A0J2-01A,0.0771913628985428,0,0.0477379679602706,0.137040445368813,0,0.138791489107739,0.0633628974540583,0.105854035744874,0,0,0.0312502632887522,0.0845818834150416,0.0135958604565307,0.0934313410364284,0.144627492502674,0.14652069045623,0.0333506038049547,0.0127543246258747,0.0595428855228717,0,0,0,0,0.671538652649275,0.774945485399193,1.18963354364366
TCGA-AO-A0J4-01A,0.138203456190698,0,0.0134435795587341,0.160538054438809,0,0.340155312763194,0.0399404934069999,0.165998926593582,0.126939505544672,0,0.0318998903938355,0.0056022419265714,0,0.333068751266886,0.234483856105112,0.122027069949622,0.00286263969600865,0.00568394383980344,0.0169973972673486,0,0,0.00649646537456743,0,0.66879389350373,0.767075340117148,1.74434158431644
TCGA-AO-A0J6-01A,0.00995913088378535,0,0.0150593653498052,0.329211340308262,0,0.0116814165344906,0.119901969627074,0.137108259108951,0.0132746832645656,0.0170399931089673,0.0858682248749475,0.0529145987862756,0.00506612340076231,0.158199934774258,0.167954688770129,0.149850871441007,0,0.160485605228371,0.00898247211588514,0,0,0.00389169135954971,0,0.691325803981235,0.745108635645009,1.44645036893709
TCGA-AO-A124-01A,0.128490090400811,0,0.00794728943793653,0.0736522842745908,0,0.181508376463653,0.0134532916499698,0.0908899124639223,0.0274088924334494,0,0.0317323925788996,0.00675305090033693,0.0170436476239942,0.202706149838647,0.0945167224332819,0.0917861655048783,0,0.0645325610154804,0,0.0630188036640973,0,0.00626274518973919,0,0.449796488515798,0.892245724778766,1.10170237587369
TCGA-AO-A128-01A,0.045794390947178,0,0,0.959735488132663,0,0,0.391928285523482,0.295808488749667,0.0387894740556886,0.231385303475633,0,0.109870220414063,0,0.241132207194996,0.652763644868225,0.562503312700635,0.0294472123651282,0,0.202456557700998,0,0,0.0198548856319977,0,0.739662745887424,0.711657075097005,3.78146947176035
TCGA-AO-A129-01A,0.106107791300566,0,0.0706856070656115,0.150828433150002,0,0.244380765236226,0.0741004311039506,0.164896037506486,0.0689858633165888,0,0.0155823427984994,0.0302034104671228,0.0188929151113698,0.211967429761447,0.210895522859559,0.134421851300167,0.0155895213098115,0,0.0533511462704874,0,0,0,0,0.707084808401383,0.754286583614014,1.5708890685579
TCGA-AO-A12F-01A,0.0409189244072328,0,0.0242382777637234,0.0274944616540552,0,0.115745320520609,0.00792440498761602,0.0308016685908332,0.0131862076444457,0,0.0163113493640642,0.00506937505359721,0.0138666305518861,0.15027769590735,0.0088685205987921,0.193482485366734,0.00971737095485581,0.0439323351607566,0.0697850196540666,0,0.003565227214696,0.0109173312193759,0,0.451837768063006,0.891790895677421,0.786102606614689
TCGA-AO-A1KR-01A,0.0155147610168268,0,0.039583656939543,0.146613755441142,0,0.0522714522635707,0.0179510554099671,0.0968245373845161,0.0675140385197783,0.000473114136118584,0,0.0466546312092564,0.00570531002836257,0.0712428214997219,0.115501670533934,0.0634657205361438,0.00623624731425543,0.0201096217733622,0.0218329523169024,0,0.00505484944622998,0,0,0.455981988047856,0.889584817688352,0.792550195769632
TCGA-AQ-A04J-01A,0.209883483681747,0,0.0512983982113408,0.162225724667552,0.0291748872675503,0.350091742974269,0.111399767652463,0.0243008152975071,0,0,0.0431005032362105,0,0.0173783196212045,0.187175419843786,0.127463312607504,0.164406694126744,0.0340755210761337,0.0608237654359927,0.0550561730394006,0,0,0.00820208590783149,0,0.705540999041158,0.766098469631572,1.63605661464724
TCGA-AQ-A54N-01A,0.0231987868820647,0,0.0135354097353009,0.100158339536172,0,0.102038793870174,0.0148807289505185,0.0816567167082679,0.0471040115911222,0,0,0.00870751644165008,0.01971773699538,0.0782628399244574,0.071893975802702,0.121362548528184,0.00165573548749059,0.011008218340854,0.0298451546851155,0,0.00042553343058039,0.00310879870503823,0,0.398250692434982,0.917244880923714,0.728560845615073
TCGA-AR-A0TS-01A,0.342293523165012,0.0156753890376201,0.0601731261332967,0.182352915064992,0.0297950976336628,0.504633003577317,0.0816168913377353,0.132959767834352,0.0583520731482287,0,0.0529820929115052,0,0.0366247418381725,0.215306203351839,0.224980333816206,0.307161743978931,0,0.00414770064604772,0.0750008281349907,0,0,0.00742320121796425,0,0.807865718052719,0.703172759371619,2.33147863282787
TCGA-AR-A0U4-01A,0.00161670780019606,0,0.0070914081552625,0.0714123879531107,0,0.215416466713674,0.0923350246882455,0.064756362202878,0.0324123690803455,0,0.0862096467481644,0,0.0698927811097591,1.30166665400232,0.467524231343567,0.244965287833521,0.0874768357625611,0,0,0.0178994286955464,0,0.0315676628518915,0,0.806234168591833,0.617015015813688,2.79224325494104
TCGA-AR-A1AI-01A,0.0243703930769167,0,0.145607742361827,0.180002772990773,0,0.2470740720566,0.140699324545031,0.0828584409942438,0.018731829208629,0.0209639568211843,0.0242446430390765,0,0.015759094166029,0.298171493908662,0.123234194884441,0.205409149499762,0.0292039585305468,0.0354667449726495,0.0267878697243885,0,0,0.00560345673832211,0,0.744315616460722,0.74280978868532,1.62418913751908
TCGA-AR-A1AQ-01A,0.0439973835165035,0,0.15644291137566,0.199975326628519,0,0.0803359343456532,0.147040513247059,0.116724485681455,0.0290845893616311,0,0.0366088784943809,0,0,0.236120314970334,0.180183671046894,0.205644533098453,0.043378098932261,0.0114030924111749,0.0463314227541154,0,0,0,0,0.823232615801969,0.698785167818688,1.53327115586409
TCGA-AR-A1AR-01A,0.0696873586181855,0,0,0.0821751644698126,0,0.413373127652992,0.0951983201294336,0.0499407376823981,0.011793434222518,0.0519508465391115,0.00790739697717981,0,0.0306923778574664,0.473622916287013,0.190038236717625,0.35949127568389,0.032906538188326,0.0330424442308889,0.0689376858490535,0,0,0,0,0.860021633450185,0.641289431836591,1.97075786110589
TCGA-AR-A1AY-01A,0.00760007698649649,0.000156218639237777,0.00506755619502758,0.0363152369742695,0,0.128780382129593,0,0.0201513294019479,0.0108178761331685,0,0,0.023076727453242,0,0.555784776754023,0.101199282213136,0.0952127511580981,0,0,0.0409079855220807,0.00673670416121871,0,0.000880231770408208,0,0.804392400705822,0.616580830513185,1.03268713549195
TCGA-AR-A256-01A,0.0477939347759958,0,0.00109977703528303,0.0337522042880863,0,0.154865085498079,0.00309182005840355,0.064622834345573,0.0285110890437837,0,0.0412808701640628,0,0.0355904268892923,0.315822321974161,0.0617737724738673,0.109043440153666,0.0330615116232941,0.118842819522981,0,0.0228362441635775,0.00124343417630131,6.85406964929793e-05,0,0.804686513164947,0.671987704293813,1.0733001268829
